customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Renew,CampaignName,Actual Profit,CustomerType
9286-DOJGF,Female,1,Yes,No,38,Yes,Short term,Yes,74.95,2869.85,Yes,Last Campaign,43,Targeted
4312-GVYNH,Female,0,Yes,No,70,No,Long term,Yes,49.85,3370.2,No,Last Campaign,-7,Targeted
8898-KASCD,Male,0,No,No,39,No,Short term,No,35.55,1309.15,No,Last Campaign,-7,Targeted
2091-MJTFX,Female,0,Yes,Yes,30,No,Short term,No,51.2,1561.5,Yes,Last Campaign,43,Targeted
2277-DJJDL,Male,1,Yes,No,60,Yes,Short term,Yes,99,6017.9,No,Last Campaign,-7,Targeted
2511-MORQY,Male,0,Yes,Yes,50,Yes,Short term,No,54.9,2614.1,No,Last Campaign,-7,Targeted
2468-SJFLM,Male,0,No,No,1,Yes,Short term,Yes,74.3,74.3,No,Last Campaign,-7,Targeted
0601-WZHJF,Male,0,Yes,No,14,No,Short term,No,46.35,667.7,Yes,Last Campaign,43,Targeted
0463-TXOAK,Male,0,No,Yes,52,Yes,Long term,No,25.6,1334.5,No,Last Campaign,-7,Targeted
4683-WYDOU,Male,0,Yes,No,62,Yes,Long term,Yes,107.6,6912.7,No,Last Campaign,-7,Targeted
1166-PQLGG,Female,0,Yes,Yes,72,Yes,Long term,No,19.55,1463.45,No,Last Campaign,-7,Targeted
0963-ZBDRN,Male,0,No,No,32,Yes,Short term,Yes,96.2,3183.4,Yes,Last Campaign,43,Targeted
7173-TETGO,Female,1,Yes,No,72,Yes,Long term,No,78.5,5602.25,No,Last Campaign,-7,Targeted
2692-PFYTJ,Female,0,No,No,1,Yes,Short term,Yes,25.75,25.75,No,Last Campaign,-7,Targeted
5193-QLVZB,Male,0,No,No,63,Yes,Long term,Yes,104.75,6536.5,No,Last Campaign,-7,Targeted
4657-FWVFY,Female,0,Yes,Yes,40,Yes,Short term,Yes,96.35,3915.4,No,Last Campaign,-7,Targeted
0623-EJQEG,Male,0,No,No,65,Yes,Short term,No,93.55,6069.25,No,Last Campaign,-7,Targeted
4501-UYKBC,Female,1,No,No,46,Yes,Short term,Yes,69.1,3255.35,No,Last Campaign,-7,Targeted
8158-WPEZG,Male,0,No,No,11,No,Short term,Yes,35.65,425.1,No,Last Campaign,-7,Targeted
9732-EQMWY,Female,0,Yes,No,49,Yes,Short term,No,99.4,5025,No,Last Campaign,-7,Targeted
1099-BTKWT,Female,0,Yes,No,68,No,Short term,Yes,54.4,3723.65,No,Last Campaign,-7,Targeted
4815-TUMEQ,Female,0,No,No,10,Yes,Short term,Yes,19.3,185.2,No,Last Campaign,-7,Targeted
6407-UTSLV,Female,1,No,No,2,Yes,Short term,Yes,83.8,163.7,No,Last Campaign,-7,Targeted
8229-TNIQA,Female,0,No,No,4,Yes,Short term,Yes,45.3,196.95,Yes,Last Campaign,43,Targeted
3675-YDUPJ,Male,0,No,No,10,Yes,Short term,Yes,19.85,193.05,No,Last Campaign,-7,Targeted
4443-EMBNA,Female,0,Yes,No,71,Yes,Long term,No,24.75,1836.9,No,Last Campaign,-7,Targeted
4280-DLSHD,Male,0,Yes,No,8,Yes,Short term,Yes,54.75,445.85,No,Last Campaign,-7,Targeted
9300-AGZNL,Male,1,No,No,1,Yes,Short term,Yes,94,94,Yes,Last Campaign,43,Targeted
8464-EETCQ,Male,0,No,No,57,Yes,Long term,No,18.8,1094.35,No,Last Campaign,-7,Targeted
7216-EWTRS,Female,1,Yes,No,1,Yes,Short term,Yes,100.8,100.8,Yes,Last Campaign,43,Targeted
8623-ULFNQ,Female,1,No,No,26,Yes,Short term,Yes,66.05,1652.4,No,Last Campaign,-7,Targeted
9317-WZPGV,Female,1,No,No,2,Yes,Short term,Yes,79.75,159.4,Yes,Last Campaign,43,Targeted
8947-YRTDV,Male,0,Yes,Yes,32,Yes,Short term,No,94.8,3131.55,No,Last Campaign,-7,Targeted
8071-SBTRN,Female,0,No,No,70,Yes,Long term,Yes,111.15,7737.55,No,Last Campaign,-7,Targeted
4701-MLJPN,Male,0,No,No,31,Yes,Short term,Yes,55.25,1715.65,Yes,Last Campaign,43,Targeted
1205-WNWPJ,Female,0,No,No,7,Yes,Short term,Yes,59.5,415.95,Yes,Last Campaign,43,Targeted
3727-OWVYD,Male,0,No,No,35,Yes,Short term,No,61.2,2021.2,No,Last Campaign,-7,Targeted
0562-FGDCR,Female,0,Yes,Yes,72,Yes,Long term,No,74.55,5430.65,No,Last Campaign,-7,Targeted
2277-VWCNI,Female,1,No,No,4,Yes,Short term,No,48.75,179.85,No,Last Campaign,-7,Targeted
3498-LZGQZ,Male,0,Yes,Yes,63,Yes,Long term,Yes,19.15,1177.05,No,Last Campaign,-7,Targeted
3815-SLMEF,Female,0,No,No,3,No,Short term,No,34.25,139.35,Yes,Last Campaign,43,Targeted
4513-CXYIX,Female,1,Yes,No,71,Yes,Long term,Yes,80.7,5676,No,Last Campaign,-7,Targeted
1270-XKUCC,Female,0,Yes,Yes,30,Yes,Long term,No,19.7,599.25,No,Last Campaign,-7,Targeted
8075-GXIUB,Male,1,Yes,No,9,Yes,Short term,No,19.85,183.15,No,Last Campaign,-7,Targeted
6016-NXBNJ,Male,0,No,No,35,Yes,Short term,Yes,19.15,638,No,Last Campaign,-7,Targeted
9332-GYWLO,Female,0,Yes,Yes,6,Yes,Short term,No,54.85,355.1,No,Last Campaign,-7,Targeted
3276-HDUEG,Female,0,No,No,1,Yes,Short term,Yes,75.05,75.05,Yes,Last Campaign,43,Targeted
5884-FBCTL,Female,0,Yes,Yes,72,Yes,Long term,No,25.1,1857.85,No,Last Campaign,-7,Targeted
8999-YPYBV,Male,0,Yes,Yes,45,Yes,Long term,Yes,84.35,3858.05,No,Last Campaign,-7,Targeted
1522-VVDMG,Male,0,Yes,Yes,7,Yes,Short term,Yes,89.75,608.8,Yes,Last Campaign,43,Targeted
0848-SOMKO,Male,0,No,No,70,No,Long term,No,48.4,3442.8,No,Last Campaign,-7,Targeted
